,reqid,date,open,high,low,close,volume
370,4104,20201216  14:20:00,11.825,12.125,11.825,12.125,-1
371,4104,20201216  14:25:00,12.125,12.175,12.1,12.125,-1
372,4104,20201216  14:30:00,12.125,12.6,12.125,12.6,-1
373,4104,20201216  14:35:00,12.6,13.425,12.6,13.425,-1
374,4104,20201216  14:40:00,13.425,13.5,13.425,13.5,-1
375,4104,20201216  14:45:00,13.5,13.625,13.5,13.625,-1
376,4104,20201216  14:50:00,13.625,13.9,13.625,13.825,-1
377,4104,20201216  14:55:00,13.825,13.925,13.825,13.925,-1
378,4104,20201216  15:00:00,13.925,14.05,13.85,14.05,-1
379,4104,20201216  15:05:00,14.05,14.075,13.725,13.75,-1
380,4104,20201216  15:10:00,13.75,13.8,13.675,13.725,-1
381,4104,20201216  15:15:00,13.725,13.925,13.6,13.925,-1
382,4104,20201216  15:20:00,13.925,14.225,13.925,14.15,-1
383,4104,20201216  15:25:00,14.15,14.425,14.15,14.325,-1
384,4104,20201216  15:30:00,14.325,14.675,14.325,14.625,-1
385,4104,20201216  15:35:00,14.625,14.625,14.45,14.45,-1
386,4104,20201216  15:40:00,14.45,14.55,14.45,14.525,-1
387,4104,20201216  15:45:00,14.525,14.525,14.325,14.325,-1
388,4104,20201216  15:50:00,14.325,14.35,13.65,14.15,-1
389,4104,20201216  15:55:00,14.15,14.2,13.525,13.55,-1
390,4105,20201216  09:30:00,7.55,11.45,7.55,11.05,-1
391,4105,20201216  09:35:00,11.05,11.3,10.35,10.35,-1
392,4105,20201216  09:40:00,10.35,10.45,10.25,10.35,-1
393,4105,20201216  09:45:00,10.35,10.55,10.35,10.55,-1
394,4105,20201216  09:50:00,10.55,11.2,10.55,11.2,-1
395,4105,20201216  09:55:00,11.2,11.5,11.15,11.15,-1
396,4105,20201216  10:00:00,11.15,11.6,11.05,11.5,-1
397,4105,20201216  10:05:00,11.5,11.7,11.45,11.5,-1
398,4105,20201216  10:10:00,11.5,11.75,11.2,11.25,-1
399,4105,20201216  10:15:00,11.25,11.25,10.6,10.8,-1
400,4105,20201216  10:20:00,10.8,10.85,10.3,10.4,-1
401,4105,20201216  10:25:00,10.4,11.55,10.4,11.35,-1
402,4105,20201216  10:30:00,11.35,11.5,11.35,11.5,-1
403,4105,20201216  10:35:00,11.5,11.85,11.5,11.85,-1
404,4105,20201216  10:40:00,11.85,12.1,11.85,11.95,-1
405,4105,20201216  10:45:00,11.95,12.1,11.8,11.85,-1
406,4105,20201216  10:50:00,11.85,11.95,11.85,11.9,-1
407,4105,20201216  10:55:00,11.9,11.9,11.7,11.7,-1
408,4105,20201216  11:00:00,11.7,11.9,11.7,11.9,-1
409,4105,20201216  11:05:00,11.9,12.45,11.9,12.25,-1
410,4105,20201216  11:10:00,12.25,12.25,12.15,12.25,-1
411,4105,20201216  11:15:00,12.25,12.3,11.6,11.65,-1
412,4105,20201216  11:20:00,11.65,11.95,11.65,11.95,-1
413,4105,20201216  11:25:00,11.95,12.1,11.9,12.1,-1
414,4105,20201216  11:30:00,12.1,12.3,12.1,12.2,-1
415,4105,20201216  11:35:00,12.2,12.7,12.2,12.6,-1
416,4105,20201216  11:40:00,12.6,12.6,12.5,12.55,-1
417,4105,20201216  11:45:00,12.55,12.65,12.55,12.65,-1
418,4105,20201216  11:50:00,12.65,13.0,12.65,12.95,-1
419,4105,20201216  11:55:00,12.95,13.0,12.85,12.9,-1
420,4105,20201216  12:00:00,12.9,12.9,12.7,12.7,-1
421,4105,20201216  12:05:00,12.7,12.9,12.7,12.9,-1
422,4105,20201216  12:10:00,12.9,12.95,12.85,12.85,-1
423,4105,20201216  12:15:00,12.85,13.2,12.85,12.95,-1
424,4105,20201216  12:20:00,12.95,12.95,12.7,12.7,-1
425,4105,20201216  12:25:00,12.7,12.75,12.55,12.7,-1
426,4105,20201216  12:30:00,12.7,12.7,12.4,12.45,-1
427,4105,20201216  12:35:00,12.45,12.7,12.45,12.55,-1
428,4105,20201216  12:40:00,12.55,12.7,12.4,12.65,-1
429,4105,20201216  12:45:00,12.65,12.8,12.5,12.5,-1
430,4105,20201216  12:50:00,12.5,12.5,12.15,12.4,-1
431,4105,20201216  12:55:00,12.4,12.7,12.4,12.7,-1
432,4105,20201216  13:00:00,12.7,12.7,12.45,12.45,-1
433,4105,20201216  13:05:00,12.45,12.45,12.1,12.1,-1
434,4105,20201216  13:10:00,12.1,12.55,12.1,12.55,-1
435,4105,20201216  13:15:00,12.55,12.55,12.35,12.45,-1
436,4105,20201216  13:20:00,12.45,12.55,12.45,12.5,-1
437,4105,20201216  13:25:00,12.5,12.55,12.25,12.25,-1
438,4105,20201216  13:30:00,12.25,12.65,12.25,12.65,-1
439,4105,20201216  13:35:00,12.65,12.8,12.65,12.8,-1
440,4105,20201216  13:40:00,12.8,12.95,12.8,12.9,-1
